,englishText,frenchTextDavinciFineTuned,frenchTextDavinci,frenchTextDavinci002
276,"SARS-CoV-2 mainly attacks the lungs in the beginning and probably also attacks, to a lesser degree, other organs that express ACE2, such as the gastrointestinal system and the kidneys.","SARS-CoV-2 attaque principalement les poumons au début et attaque probablement également d'autres organes qui expriment ACE2, tels que le système digestif et","SARS-CoV-2 definitely attaches to ACE2 (it binds to a receptor on its surface), and probably also to other proteins produced by the cell, such as other receptors and signaling molecules. In order to destroy the cell, SARS","SARS-CoV-2 attaque principalement les poumons au début et attaque probablement également, dans une moindre mesure, d'autres organes qui expriment ACE2"
277,"Nevertheless, respiratory dysfunction and failure are the major threat to the patients and the major cause of death.","Néanmoins, la dysfonction respiratoire et l'échec respiratoire sont la principale menace pour les patients et la principale cause de décès.","A gradual decrease in the level of consciousness and death may ensue.

7. For each of the following essay questions, choose the answer the best answers both topics from among the choices given. Write your answers in essay format.

1","Malgré tout, la dysfonction respiratoire et l'insuffisance respiratoire sont les principales menaces pour les patients et la principale cause de mortalité."
278,"Thus, respiratory support is critical to relieve the symptoms and save lives and includes general oxygen therapy, high-flow oxygen, noninvasive ventilation, and invasive mechanical ventilation depending on the severity of the disease.","Ainsi, le soutien respiratoire est crucial pour soulager les symptômes et sauver des vies et comprend généralement une thérapie en oxygène, l'oxyg","50


Translate the following French text into English: Les soins du support respiratoire sont importants pour soulager les symptômes et pour sauver des vies et comprennent la thérapie a","Ainsi, le soutien respiratoire est essentiel pour soulager les symptômes et sauver des vies, et comprend une oxygénothérapie générale, une oxy"
279,"Patients with severe respiratory symptoms have to be supported by extracorporeal membrane oxygenation (ECMO), a modified cardiopulmonary bypass technique used for the treatment of life-threatening cardiac or respiratory failure.","Les patients présentant des symptômes respiratoires sévères doivent être soutenus par la membrane extracorporelle permettant l'oxygénation (ECMO),",ECMO can support the entire pulmonary circulation (ECMO-PC) or only the lung base (ECMO-LB). Life-threatening complications with ECMO-PC usually require treatment interruption and re-initiation of cardiorespiratory support,"Les patients ayant des symptômes respiratoires graves doivent être pris en charge par l'oxygénation extracorporelle (ECMO), une technique de bypass cardiaque modifi"
280,"In addition, the maintenance of electrolyte balance, the prevention and treatment of secondary infection and septic shock, and the protection of the functions of the vital organs are also essential for SARS-CoV-2 patients.","En outre, le maintien d'un équilibre électrolitique, la prévention et le traitement des infections secondaires et l'évanouissement septique, et la protection des f","http://www.ibestformetrol.com/conjugado-para-hormonas/ 20 28 May 2016, 10:56 Fundação José Saramago Bug

LOKI TECH - WIP Check","En outre, l'équilibre des électrolytes, la prévention et le traitement des infections secondaires et du choc septique, ainsi que la protection des fonctions des"
281,It has been known that a cytokine storm results from an overreaction of the immune system in SARS and MERS patients.,On sait que la tempête de cytokine résulte d'une réaction excessive du système immunitaire chez les patients atteints de SRAS et de MERS.,"WHO is discussing this chance with experts.

Translate the following English text to French: The United States places great importance on the ongoing dialogue Britain and Iceland have been having on sovereign pledge holders. That pledge was transferred in October 2012.",On sait que la tempête de cytokines est due à une réaction excessive du système immunitaire chez les patients atteints de SRAS et de MERS.
282,"Cytokine storm is a form of systemic inflammatory response featured by the release of a series of cytokines including TNFα, IL-1β, IL-2, IL-6, IFNα, IFNβ, IFNγ, and MCP-1.","La ""cytokine storm"" est une forme de réponse inflammatoire systémique caractérisée par la libération d'une série de cytokines incluant le TNFα","Upregulation of the cytokines leads to septic shock features that may include multiorgan failure. Treatment of a cytokine storm typically involves immune suppression and may require mechanical ventilation.


Vegetative state

Paragraphe 1","La tempête de cytokines est une forme de réponse inflammatoire systémique caractérisée par la libération d'une série de cytokines, notamment TNF"
283,These cytokines induce immune cells to release a vast number of free radicals which are the major cause of ARDS and multiple organ failure.,Ces cytokines font émettre des cellules immunitaires en libérant un très grand nombre de radicaux libres qui sont la cause principale de l'ARDS et de l'arrê,"Cytokines produced by the brain can also affect other portions of the brain far away from the site of origin.

Imagine that from your whole brain you had magically extracted the cells, and then placed them in an gigantic explosion. The brain","Ces cytokines induisent les cellules immunitaires à libérer une grande quantité de radicaux libres, qui sont la principale cause de la SARS et de la insuffisance d'"
284,"Immunosuppression is essential in the treatment of cytokine storms, especially in severe patients.","La immunosuppression est essentielle dans le traitement des ouragans-cytokines, surtout chez les patients graves.","It consists of splitting off the fluences, which causes the inflammatory process and represses symptoms; corticosteroids are by far denervating the tyrants for treating immunosuppression.

14. Translate the following passage from English","L'immunosuppression est essentielle dans le traitement des tempêtes de cytokines, en particulier chez les patients sévères."
285,"Corticosteroids and tocilizumab, an anti-IL6 monoclonal antibody, have been used to treat cytokine storm.","Les corticostéroïdes et le tocilizumab, une monoclonale anti-IL6, ont été utilisés pour traiter le cytoréactif.","Match each of the following 20 viroid names with the description of what it does.


_____ ____ 9 Replicates in all C and G plant RNA polymerase.


_____ ____ 10 Causes cell death in all G","Les corticostéroïdes et le tocilizumab, un anticorps monoclonal anti-IL6, ont été utilisés pour traiter la tempête de cytokines."
286,"Other immunosuppression treatments for cytokine storm include the modulation of T cell-directed immune response; the blockade of IFN-γ, IL-1, and TNF; JAK inhibition; blinatumomab; suppressor of cytokine signaling 4; and HDAC inhibitors.",Les traitements d'immunosuppression pour la crise d'anticorps libres incluent la modulation de la réponse immunitaire dirigée contre les lymphocytes T; le blocage de l'IF,This is the end of the preview. Sign up to access the rest of the document.,Les autres traitements de l'immunosuppression pour la tempête de cytokines comprennent la modulation de la réponse immunitaire dirigée par les cellules T; le blocage de l
287,"Steroids, as immunosuppressants, were widely used in the treatment of SARS to reduce the severity of inflammatory damage.","Les stéroïdes, en tant que immunosuppresseurs, ont largement été utilisés dans le traitement du SRAS pour réduire la gravité des dommages inflammatoires.",the syndrome was first observed. Although Chinese medicine has been practised continuously for millennia. Demonstrate that drugs such as steroids or aspirin can lower a person's temperature in the presence paracetamol were alprazolam 1mg for sale introduced,"Les stéroïdes, en tant qu'immunosuppresseurs, ont été largement utilisés dans le traitement du SRAS pour réduire la sévérité des"
288,"However, steroids at high dosages were not beneficial to severe lung injury in SARS and COVID-19 patients.","Cependant, les stéroïdes à fortes doses n'ont pas été utiles pour le traitement de l'inhalation sévère chez les patients SARS et COVID-19.","Few studies have been carried out of the prevalence of smoking in children with cystic fibrosis. Which position is likely to offer the positive therapeutic interaction between a mother and her person with mental incapacity? Out of the native-born workers, one more","Cependant, les stéroïdes à fortes doses n'ont pas été bénéfiques pour les patients gravement atteints de SARS et de COVID-19."
289,"Instead, they may cause severe side effects, especially avascular osteonecrosis, dramatically affecting the prognosis.","Au lieu de cela, ils peuvent causer des effets secondaires graves, particulièrement l'ostéonécrose avasculaire, qui affecte dramatiquement l'issue.","Judith Weinland

English to French translations

+33 (0)6 86 51 76 95

jweinland fr



2733 posts



Uber Geek

+1","Au lieu de cela, ils peuvent provoquer des effets secondaires graves, en particulier l'ostéonécrose avasculaire, affectant dramatiquement le pronostic"
290,"Nevertheless, short courses of corticosteroids at low-to-moderate doses have been recommended to be used prudently for critically ill COVID-19 patients.","Néanmoins, des cours de corticostéroïdes à faibles doses ont été recommandés pour être utilisés avec prudence chez les patients COVID-19 critiques.",Antiemetic: noneprnemetic dopamine antagonists (prn) or corticosteroids (CVID-19) may be used as needed. Short courses of triple therapy with antiemetic addition has not demonstrated efficacy and increases the severity,"Toutefois, il a été recommandé d'utiliser avec prudence des cours de corticostéroïdes de faible à modérée intensité pour les patients gravement atte"
291,"At the time of writing, no effective antiviral therapy has been confirmed.","À l'heure actuelle, une thérapie antivirale efficace n'a pas été confirmée.","Interferon and ribavirin are ineffective against infections with the adenovirus and the hepatitis Or the cytomegalovirus), and have therefore been replaced, wherever possible, by effective gancyclovir (a drug that interfe","Au moment de la rédaction de cet article, aucun traitement antiviral efficace n'a été confirmé."
292,"However, intravenous administration with remdesivir, a nucleotide analog, has been found to be efficacious in an American patient with COVID-19.","Cependant, l'administration par voie intraveineuse de remdesivir, un analogon nucléotidique, a été trouvée efficace chez un patient américain atte",Rapidly upregulated mucosal UPRPR1 protein was recognized to be partially responsible for the virus-induced enhanced activity of the functional inhibitor of ESCRT E3 ubiquitin conjugation JIL-1 [84]. Sufferings like,"Cependant, l'administration par voie intraveineuse de remdesivir, un analogue de nucléotide, s'est avérée efficace chez un patient américain atteint"
293,Remdesivir is a novel antiviral drug developed by Gilead initially for the treatment of diseases caused by Ebola and Marlburg viruses.,Rédemesivir est un nouveau médicament antiviral développé par Gilead initialement pour le traitement des maladies causées par le virus Ebola et le virus Marburg.,"It is also indicated for the treatment of Hepatitis C, an infectious disease caused by the Hepatitis C virus. Dasa, et al. Journal of Medicinal Chemistry 2016 49 (2), 389-410.

Notes",Le Remdesivir est un nouveau médicament antiviral développé par Gilead en premier lieu pour le traitement des maladies causées par les virus Ebola et Marlburg.
294,"Later, remdesivir also demonstrated possible inhibition of other single stranded RNA viruses including MERS and SARS viruses.","Par la suite, le remdesivir a également montré la possibilité d'une inhibition d'autres virus à ARN simple brin incluant les coronavirus responsables de la fièvre à","Remdesivir: a Novel Anti-HIV Herbal Medicine

Plan de formation de la chaine de pilotage mise en place au niveau du district d'abidjan 2011-2013 par mr n","Plus tard, le remdesivir a également montré une possible inhibition des autres virus à ARN monocaténaire, y compris les virus MERS et SARS."
295,"Based on these, Gilead has provided the compound to China to conduct a pair of trials on SARS-CoV-2-infected individuals, and the results are highly anticipated.","Basé sur ces études, Gilead a fourni le composé à la Chine pour effectuer une paire de essais sur les individus infectés par le SARS-CoV-2, et les",,"Basé sur cela, Gilead a fourni le composé à la Chine pour conduire une paire d'essais sur les personnes infectées par SARS-CoV-2, et les r"
296,"In addition, baricitinb, interferon-α, lopinavir/ritonavir, and ribavirin have been suggested as potential therapies for patients with acute respiratory symptoms.","En outre, le baricitinib, l'interféron-α, le lopinavir/ritonavir et le ribavirin ont été suggérés comme des thérapies potentie","Two presentations included a modelling analysis comparing herceptin and chlorambucil, while the other was a comparative presentation between bevacizumab and cetuximab.A total of 438 abstracts were assessed as full texts.","De plus, il a été suggéré que le baricitinib, l'interféron-α, le lopinavir / ritonavir et le ribavirin constituent des traitements potenti"
297,"Diarrhea, nausea, vomiting, liver damage, and other adverse reactions can occur following combined therapy with lopinavir/ritonavir.","Diarrhée, nausée, vomissements, détérioration du foie et autres réactions indésirables peuvent survenir lors de la thérapie combinée par lop","Both drugs should be withheld if a viral syndrome occurs with or without abdominal pain, or if liver enzymes are elevated or abnormally low. Laboratory testing should assess complete blood count, liver profile, kidney function tests, and serum electrolyte levels. Potential interactions","La diarrhée, la nausée, les vomissements, les lésions hépatiques et d'autres effets indésirables peuvent être observés après une thé"
298,The interaction of these treatments with other drugs used in the patients should be monitored carefully.,L'interaction de ces traitements avec d'autres médicaments utilisés chez les patients doit être surveillée attentivement.,"Problème 6.31.

Translate the following English text to Russian: The interaction of these treatments with other drugs used in the patients should be monitored carefully.

Problème 6.32

Trans",L'interaction de ces traitements avec d'autres médicaments utilisés chez les patients doit être soigneusement surveillée.
299,Plasma from recovered patients and antibody generation,Insa les patients récupérés et la génération d'anticorps,"to plasma proteins an important application such as the treatment of autoimmune and CMP-28 agonist from. DCC-2651 About 4 h prior to hemolymph collection, 48 h prior to exsanguination, 144 h prior to C",Plasma de patients récupérés et production d'anticorps
300,The collection of the blood from patients who recovered from a contagious disease to treat other patients suffering from the same disease or to protect healthy individuals from catching the disease has a long history.,La collection du sang de patients qui se sont rétablis d'une maladie contagieuse pour traiter les patients atteints de la même maladie ou pour protéger les individus sains,Later it was discovered that in those who don't have the disease antibodies to fight the disease will develop and it came to be known as vaccination. Vaccination is a protection that is available to all. The term was not used until 1800 when the English,La collecte du sang de patients qui ont récupéré d'une maladie contagieuse pour traiter d'autres patients atteints de la même maladie ou pour protéger les
301,"Indeed, recovered patients often have a relatively high level of antibodies against the pathogen in their blood.","En effet, les patients rétablis ont souvent un niveau relativement élevé d'anticorps contre le pathogène dans leur sang.","14 and 5 V3 The word ""developed"" in line 9 refers to V3.

You must answer almost every problem as an essay. The job was to tell if the chemicals were present or not and examine if the chemicals were present.","En effet, les patients guéris ont souvent un niveau relativement élevé d'anticorps contre le pathogène dans leur sang."
302,Antibodies are an immunoglobulin (Ig) produced by B lymphocytes to fight pathogens and other foreign objects and they recognize unique molecules in the pathogens and neutralize them directly.,Les anticorps sont un immunoglobuline (Ig) produite par les lymphocytes B pour combattre les agents pathogènes et d'autres objets étrangers et ils reconnaissent,,Les antibodies sont un immunoglobuline (Ig) produit par les lymphocytes B pour lutter contre les pathogènes et autres objets étrangers. Ils reconnaissent les mol
303,"Based on this, plasma was collected from the blood of a group of patients who recovered from COVID-19 and was injected into 10 seriously ill patients.","Sur la base de ceci, le plasma a été collecté du sang d'un groupe de patients qui a guéri du COVID-19 et a été injecté dans 10 patients gravement malades","Four of the 10 patients relea ...

My friend told be that i have to meet a doctor named my Hello, My friend told be that i have to meet a doctor named myrtenola sine my understanding is it is part of","Sur cette base, le plasma a été prélevé du sang de patients qui se sont remis du COVID-19 et injecté à 10 patients gravement malades."
304,"Their symptoms improved within 24 hours, accompanied by reduced inflammation and viral loads and improved oxygen saturation in the blood.","Les symptômes de leurs améliorés en 24 heures, accompagnés d'une diminution de l'inflammation et des taux viraux et d'une amélioration de la saturation en oxy","They were all dead within 36 hours, however.

http://ccms.medschool.ubc.ca/CCMSWeb/explore/glossary/challenge

LATIN

Wakened Voices are","Leurs symptômes se sont améliorés en moins de 24 heures, accompagnés d'une réduction de l'inflammation et des charges virales ainsi que d'une saturation en"
305,"However, verification and clarification are necessary to propose the method for large-scale use before specific therapies are not yet developed.","Toutefois, la vérification et l'approfondissement sont nécessaires pour proposer le méthode pour un large usage avant que des thérapies spécifiques ne so","Answers (French): However, verification and clarification are necessary to propose the method for largescale use before specific therapies are not yet developed.

Similarly, for the backtranslation Leicht has to be replaced by Économ","Cependant, une vérification et une clarification sont nécessaires pour proposer la méthode pour une utilisation à grande échelle avant que des thérapies spécifiques"
306,"In addition, given the therapeutic effects, some disadvantages associated with the plasma should be considered carefully.","En outre, les effets thérapeutiques, certains inconvénients associés à la plasmaphérèse doivent être pris en compte attentivement.","For example, given its low IgG profile in the plasma, a person who receives a transfusion is facing the risk of a higher incidence of infections of different kinds, which is limited to a persson in severe condition.

Hint:","De plus, compte tenu des effets thérapeutiques, certains inconvénients associés au plasma devraient être soigneusement pris en compte."
307,"For example, antibodies can overstimulate the immune response and cause cytokine release syndrome, which is potentially a life-threatening toxicity.","Par exemple, les anticorps peuvent surstimuler la réponse immunitaire et provoquer un syndrome de libération de cytokines, qui est potentiellement une toxicité potentiellement mortelle.","Yet in a thousand rolls of toilet paper the best company not represented in this list put a single sign on a single roll. As part of the discovery of these two techniques, the current attorney general, of whom I had never heard, was","Par exemple, les anticorps peuvent surstimuler la réaction immunitaire et provoquer une libération de cytokines, ce qui est potentiellement une toxicité mortelle."
308,"The concentration of antibodies in the blood is usually low, and the demand for the plasma is large to treat critically ill patients.","La concentration d'anticorps dans le sang est généralement faible, et la demande de plasma est élevée pour traiter les patients critiques.","Nowadays, the industry develops a solution called fractionation of plasma, in which the membrane is obtained by a process called the membrane ultrafiltration. It is high in antibody, but low in total fat and thus used in the production of intravenous","La concentration d'immunoglobulines dans le sang est habituellement faible, et la demande de plasma est élevée pour traiter les patients gravement malades."
309,It is difficult to develop and produce specific antibodies rapidly enough to fight against a global epidemic.,Il est difficile de développer et de produire des anticorps spécifiques rapidement assez pour combattre une épidémie mondiale.,Even less is there a real response to a large-scale terrorist strike. It is necessary that each citizen initially have an antiviral resistance to provide to swiftly treat (at the site of the infection) patients who have been infected in time.,Il est difficile de développer et de produire rapidement des anticorps spécifiques pour lutter contre une épidémie mondiale.
310,"Thus, it is more critical and practical to isolate B cells from recovered patients and identify the genetic codes encoding effective antibodies or screen for effective antibodies against essential proteins of the virus.","Par conséquent, il est plus critique et pratique d'isoler des cellules B des patients récupérés et d'identifier les codes génétiques qui codent des anticorps efficaces ou","7 Pages, 4301 words

... is the only way to save yourself and the world. Revenge thus becomes very popular in today's world. Both the novel ""Crime and Punishment"" by Dostoevsky and ""","De cette façon, il est davantage critique et pratique d'isoler les lymphocytes B des patients récupérés et d'identifier les codes génétiques codant pour des anticor"
311,"This way, we can readily scale up the production of the antibodies.","Cette façon, nous pouvons facilement augmenter la production des anticorps.","__________It is precisely what I couldn’t say earlier, because I did not understand what he had in mind! I could, of course, usefully translate the sentence as above with the help of the Grammar Tool, which allows you","De cette façon, nous pouvons facilement augmenter la production d'anticorps."
312,TCM has been used to treat a variety of diseases in China for thousands of years.,La médecine traditionnelle chinoise a été utilisée pour traiter une variété de maladies en Chine pendant des milliers d'années.,A short form of the 26-item Toronto Transient Pain Inventory (TTPI-26) and the TRP Module Questionnaire (TMQ) has been validated previously. Transcutaneous electrical nerve stimulation (TENS) and heat-capsaic,TCM a été utilisé pour traiter une variété de maladies en Chine pendant des milliers d'années.
313,"However, its effects largely rely on a combination of multiple components in a formula that varies depending on the diagnosis of a disease based on the theories of TCM.","Cependant, ses effets se basent largement sur une combinaison de plusieurs composants dans une formule qui varie en fonction de la définition d'une maladie fondée sur",The most famous herb pair is ‘he huan su’ that is a widely used prescription of acute puerperal sepsis. This herb pair is produced by mashing Astragalus membranaceus in combination with Cit,"Cependant, ses effets reposent largement sur une combinaison de plusieurs composants dans une formule qui varie en fonction du diagnostic d'une maladie basée sur les"
314,Most of the effective components remain unknown or are vague as it is difficult to extract and verify such components or their optimal combinations.,La plupart des composants efficaces restent inconnus ou sont vagues car il est difficile d'extraire et de vérifier de tels composants ou leurs combinaisons optimales.,"A number of upper East Asian traditional treatments have been proposed, which have various features suitable for optimizing treatment effectiveness, including the qingzhi view in traditional Chinese medicine, baoyin view in acupuncture, renyun view in traditional Chinese medicine,",La plupart des composants efficaces demeurent inconnus ou ne sont que vagues car il est difficile d'extraire et de vérifier tels composants ou leurs comb
315,"Currently, due to the lack of effective and specific therapy for COVID-19, TCM has become one of the major alternative treatments for patients with light to moderate symptoms or for those who have recovered from severe stages.","Actuellement, en raison de l'absence de traitement efficace et spécifique pour COVID-19, le TCM est devenu l'une des principales thérapies alternatives pour les patients","Mayhew F.k., Morgan E.a., Berkun A. and Dewhurst A.j., Causes of Chronic Fatigue and Chronic Fatigue Syndrome, Medical Hypotheses 54, 331-338 (1999).","À l'heure actuelle, en raison du manque de thérapies efficaces et spécifiques pour le COVID-19, la médecine traditionnelle chinoise"
316,"For example, Shu Feng Jie Du capsules and Lian Hua Qing Wen capsules were found to be effective for COVID-19 treatment.","Par exemple, les capsules Shu Feng Jie Du et les capsules Lian Hua Qing Wen ont été trouvées efficaces pour le traitement du COVID-19.","Women of all ages should eat a pointy volume of fruits and vegetables apiece day (in printed of minuscule vegetables), equivalent to two medium-sized fruits or half an avocado. Asked to reflect upon the gains and losses of her career, she","Par exemple, les capsules Shu Feng Jie Du et Lian Hua Qing Wen se sont avérées efficaces pour le traitement du COVID-19."
317,"Top cure rates in the treatment of COVID-19 patients were observed in several provinces in China that used TCM in 87% of their patients, including Gansu (63.7%), Ningxia (50%), and Hunan (50%), whereas Hubei province, which used TCM in only approximately 30% of its COVID-19 patients, had the lowest cure rate (13%).",Les taux de guérison les plus élevés dans le traitement des patients atteints de COVID-19 ont été observés dans plusieurs provinces en Chine qui ont utilisé la mé,The difference for COVs control was similarly pronounced and highly significant (P,Les meilleurs taux de guérison chez les patients atteints de COVID-19 ont été observés dans plusieurs provinces de Chine où la médecine traditionnelle
318,"However, this is quite a rough comparison as many other impact factors such as the number and severity of the patients should be included in the evaluation.","Cependant, c'est une comparaison assez rude, puisque de nombreux autres facteurs d'impact, tels que le nombre et la gravité des patients doivent","A study of vaccine reimbursement practices in France and their impact on immunization coverage Flore Laffitte1, Patrick Boiron1, Florence Béguin1 Summary In France, several kinds of vaccination are funded by the government and/or the national","Cependant, il s'agit là d'une comparaison assez grossière car de nombreux autres facteurs d'impact, tels que le nombre et la grav"
319,"On February 18, 2020, Boli Zhang and coworkers published a study to compare western medicine (WM) treatment alone with combined treatment of WM and TCM.","Le 18 février 2020, Boli Zhang et ses collègues ont publié une étude pour comparer le traitement médical occidental (WM) seul avec le traitement combin","The subjects were diagnosed with MDD, and the experiments showed that these people had an increased level of 5-HIAA. The supplementation of monoamine neurotransmitters in WM clearly improved the 5-HIAA levels. The combination TCM","Le 18 février 2020, Boli Zhang et ses collègues ont publié une étude pour comparer le traitement médical occidental (TMO) seul avec le tra"
320,"They found that the times needed for body temperature recovery, symptom disappearance, and hospitalization were remarkably shorter in the WM+TCM group than in the WM only group.","Ils ont découvert que les temps nécessaires pour la récupération du taux de température corporelle, la disparition des symptômes et l'hospitalisation étaient remar","However, hospital cost was 3.5 times higher in the WM+TCM than in the WM only group. The average hospital cost was 280 euros. Comparing WM+TCM to group C, there was a different cost-effectiveness with","On a constaté que les temps de rétablissement de la température corporelle, de disparition des symptômes et d'hospitalisation étaient remarquablement plus courts d"
321,"Most impressively, the rate for symptomatic worsening (from light to severe) was remarkably lower for the WM+TCM group than for the WM only group (7.4% versus 46.2%) and the mortality was lower in the WM+TCM group than WM only group (8.8% versus 39%).",L'incidence de la progression des symptômes (de léger à sévère) était remarquablement plus basse pour le groupe WM+TCM que pour le groupe WM seulement,"The added benefit of TCM is a promising direction for larger randomized controlled trials to explore.



Answer: Most impressive c'est un angle important a explorer

Back",Le rapport pour l'aggravation symptomatique (de léger à sévère) était remarquablement plus bas pour le groupe WM+TCM que pour le groupe WM seu
322,"Nevertheless, the efficacy and safety of TCM still await more well-controlled trials at larger scales and in more centers.","Toutefois, l'efficacité et la sécurité de la médecine traditionnelle chinoise attendent davantage de travaux de grande échelle et en plus de centres.",<br />Répondez aux questions en français: <br />1. Combien de temps a duré l’expérience ? <br /><br /><br />2. Combien,"Cependant, l'efficacité et la sécurité de la MTC n'attendent toujours que plus d'essais rigoureux à plus grande échelle et dans d"
323,It would also be intriguing to characterize the mechanism of actions and clarify the effective components of TCM treatments or their combinations if possible.,Il serait également intriguant de caractériser le mécanisme d'actions et de clarifier les composants efficaces des traitements médicamenteux chinois ou leurs comb,"Considering the growing demand for health and functional foodstuffs, which present a wide range of active molecules that are not always molecular targets, the commercial interest in the application of phytosominubstances will certainly fully increase in the coming years.",Il serait également intrigant de caractériser le mécanisme d'action et de clarifier les composants efficaces des traitements de la médecine traditionnelle chinoise o
324,"Patients with suspected or confirmed COVID-19 mostly experience great fear of the highly contagious and even fatal disease, and quarantined people also experience boredom, loneliness, and anger.","Les patients suspects ou confirmés COVID-19 expérimentent le plus souvent une grande peur de la maladie très contagieuse et même mortelle, et les personnes en quarant","Thus, effective communication is very important for recovery.

Express indirect speech (indicate whether it was a past or a future action).

a. My uncle told me to mow the lawn.

b. She will ask the","Les patients atteints de Covid-19 soupçonnés ou confirmés ressentent généralement une grande peur de la maladie altérante et même mortelle,"
325,"Furthermore, symptoms of the infection such as fever, hypoxia, and cough as well as adverse effects of the treatments such as insomnia caused by corticosteroids can lead to more anxiety and mental distress.","En outre, les symptômes de l'infection tels que la fièvre, l'hypoxie et une toux peuvent conduire à plus d'anxiété et de stress mental.","Depression is a prevalent mood disorder in people with chronic inflammatory lung diseases. Almost all chronic lung diseases carry a risk of depression, not only in those [who] are admitted to the hospital but also in their families.

Source: Marie-France","De plus, des symptômes de l'infection tels que la fièvre, l'hypoxie et la toux, ainsi que des effets indésirables des traitements tels que l"
326,"In the early phase of the SARS outbreak, a range of psychiatric morbidities including persistent depression, anxiety, panic attacks, psychomotor excitement, psychotic symptoms, delirium, and even suicidality were reported.","Dans la phase initiale de l'épidémie de SRAS, des morbidités psychiatriques, incluant la dépression persistante, l'anxiété, les attaques de panique,","Notes: The symptoms of SARS include: fever, headache, muscle ache, sore throat, cough and sore nose or chest.

Source: World Health Organization (Emergency Preparation and Response: Fact Sheets on Selected Infectious","Au début de l'épidémie de SRAS, une gamme de morbidités psychiatriques, y compris une dépression persistante, l'anxiété, les attaques de"
327,"Mandatory contact tracing and quarantine, as a part of the public health responses to the COVID-19 outbreak, can make people more anxious and guilty about the effects of the contagion, quarantine, and stigma on their families and friends.","Le contact obligatoire de trace et quarantaine, comme une partie des réponses sanitaires à l'épidémie de COVID-19, peut faire ressentir les gens plus anxie","Mandatory contact tracing and quarantine, as a part of the public health responses to the COVID-19 outbreak, can make people more anxious and guilty about the effects of the contagion, quarantine, and stigma on their families and friends .","Le suivi des contacts et l'isolement obligatoires, en tant que mesures prises dans le cadre de la réponse de la santé publique à l'épidémie de CO"
328,"Thus, mental health care should be provided to COVID-19 patients, suspected individuals, and people in contact with them as well as the general public who are in need.","Par conséquent, les soins de santé mentale devraient être fournis aux patients de COVID-19, à des personnes soupçonnées et aux personnes en contact avec ell","Charles Stein, vice-president of the Alliance for Better Mental Health, Inc. UndefinedCriminal law No person who meets the provisions of paragraph (1) shall be prohibited from receipt of resident medical care services, nonmedical special services or other services","Par conséquent, les soins de santé mentale doivent être fournis aux patients atteints de COVID-19, aux personnes soupçonnées d'être infect"
329,"The psychological support should include the establishment of multidisciplinary mental health teams, clear communications with regular and accurate updates about the SARS-CoV-2 outbreak and treatment plans and the use of professional electronic devices and applications to avoid close contact with each other.","Le soutien psychologique devrait inclure l'institution de groupes multiprofessionnels de santé mentale, des communications claires avec des mises à jour régulières et exactes sur","Your translation should be written according to the following format:

If used in student or nonprofessional work, the text should be accompanied by a translation note indicating the name of the author(s) and the source of the text.","Le soutien psychologique devrait comprendre la mise en place d'équipes de santé mentale multidisciplinaires, des communications claires avec des mises à jour réguli"
330,Effective vaccines are essential for interrupting the chain of transmission from animal reservoirs and infected humans to susceptible hosts and are often complementary to antiviral treatment in the control of epidemics caused by emerging viruses.,Les vaccins efficaces sont essentiels pour interrompre la chaîne de transmission de la source animale aux hôtes susceptibles et sont souvent complémentaires aux traitements antiviraux dans le,"These vaccines may be specific to a virus, in the case of a pure infectious disease, or they can be developed against a viral component or even more generally, against viral-related infected cells.

Keywords:

songs, plays",Les vaccins efficaces sont essentiels pour interrompre la chaîne de transmission des réservoirs animaux et des humains infectés aux hôtes susceptibles et sont souvent complément
331,Efforts have been made to develop S protein-based vaccines to generate long-term and potent neutralizing antibodies and/or protective immunity against SARS-CoV.,Des efforts ont été faits pour développer des vaccins préfiltrés à base de protéines S pour générer des antirétrovirus longue durée et puissants ou une,One possible approach is to …,Des efforts ont été faits pour développer des vaccins à base de protéines S afin de générer des anticorps neutralisants et/ou une immunité protectrice à long ter
332,Live-attenuated vaccines have been evaluated in animal models for SARS.,Les vaccins vivants atténués ont été évalués dans des modèles animaux pour le SRAS.,"live atténué vaccin

Download this page Open file in a new browser window Close",Les vaccins atténués vivants ont été évalués dans des modèles animaux pour le SARS.
333,"However, the in vivo efficacy of these vaccine candidates in elderly individuals and lethal-challenge models and their protection against zoonotic virus infection have yet to be determined before a clinical study is initiated.","Toutefois, l'efficacité in vivo de ces candidats vaccin dans les personnes âgées et les modèles de challenge létal et leur protection contre une infection virale z","Approbation requiree de produit, dechets du gel de la pluie alliage utilisation medecin oeuf, verre a oeuf overcomes une n'a science pathologie a, visag","Toutefois, l'efficacité in vivo de ces candidats vaccins chez les personnes âgées et dans les modèles de défi mortel n'a pas encore"
334,This is probably because SARS died down 17 years ago and no new case has been reported since.,C'est probablement parce que le SRAS est mort il y a 17 ans et que aucune nouvelle cas n'a été rapporté depuis.,"Some feel that something in the state of mind and body fueled this so-called disease in the first place. So what we’re left talking about is an illness that, quite possibly, may never have existed at all. Last year, Joseph",C'est probablement parce que le SRAS s'est calmé il y a 17 ans et qu'aucun nouveau cas n'a été signalé depuis.
