,terminologyEnglish,terminologyFrench,syntheticText,translatedText
227,infect,infectées|infecter,He was infected with a virus.,Il a été infecté par un virus.
228,infect,infectées|infecter,I have been infected with a virus.,J'ai été infecté par un virus.
229,infect,infectées|infecter,I have been infected with a virus.,J'ai été infecté avec un virus.
230,intermediate host,hôtes intermédiaires|hôte intermédiaire,The intermediate host is essential for the completion of the life cycle.,L'hôte intermédiaire est essentiel pour le complètement du cycle de vie.
231,intermediate host,hôtes intermédiaires|hôte intermédiaire,The intermediate host is essential for the completion of the life cycle.,L'hôte intermédiaire est essentiel pour le complètement du cycle de vie.
232,intermediate host,hôtes intermédiaires|hôte intermédiaire,The intermediate host is essential for the completion of the life cycle.,L'hôte intermédiaire est essentiel pour la complétion du cycle de vie.
233,intermediate host,hôtes intermédiaires|hôte intermédiaire,The intermediate host is essential for the completion of the life cycle.,L'hôte intermédiaire est essentiel pour achever le cycle de vie.
234,intermediate host,hôtes intermédiaires|hôte intermédiaire,The intermediate host is essential for the completion of the life cycle.,L'hôte intermédiaire est essentiel pour la fin du cycle de vie.
235,pangolin,pangolins|pangolin,The pangolin is a unique animal with its scaly armor.,L'écailleux est un animal unique avec son armure d'écailles.
236,pangolin,pangolins|pangolin,The pangolin is an unusual animal with its scaly armor.,L'ornithorynque est un animal inhabituel avec sa carapace écailleuse.
237,pangolin,pangolins|pangolin,The pangolin is an unusual animal with its scaly armor.,Le pangolin est un animal inhabituel avec son armure squameuse.
238,pangolin,pangolins|pangolin,The pangolin is an endangered species.,Le pangolin est une espèce en danger.
239,pangolin,pangolins|pangolin,The pangolin is a unique animal with its scaly armor.,L'écureuil pangolin est un animal unique avec sa carapace squameuse.
240,disinfectant,désinfectants|désinfectant,I used a disinfectant to clean the countertops.,J'ai utilisé un désinfectant pour nettoyer les plans de travail.
241,disinfectant,désinfectants|désinfectant,I used a disinfectant to clean the countertops.,J'ai utilisé un désinfectant pour nettoyer les plans de travail.
242,disinfectant,désinfectants|désinfectant,I used a disinfectant to clean the surfaces in my house.,J'ai utilisé un désinfectant pour nettoyer les surfaces dans ma maison.
243,disinfectant,désinfectants|désinfectant,I used a disinfectant to clean the countertops.,J'ai utilisé un désinfectant pour nettoyer les comptoirs.
244,disinfectant,désinfectants|désinfectant,I used a disinfectant to clean the countertops.,J'ai utilisé un désinfectant pour nettoyer les comptoirs.
245,immunity,immunité,I have immunity from the disease.,J'ai l'immunité contre la maladie.
246,immunity,immunité,I have immunity from the disease.,J'ai l'immunité contre la maladie.
247,immunity,immunité,I have immunity from the disease.,J'ai une immunité contre la maladie.
248,immunity,immunité,I have immunity from the disease.,J'ai l'immunité contre la maladie.
249,immunity,immunité,I have immunity from the flu this year.,J'ai une immunité contre la grippe cette année.
250,novel virus,nouveau virus,A new virus has been discovered.,Un nouveau virus a été découvert.
251,novel virus,nouveau virus,A new virus has been discovered.,Un nouveau virus a été découvert.
252,novel virus,nouveau virus,A new virus has been discovered.,Un nouveau virus a été découvert.
253,novel virus,nouveau virus,A new virus has been discovered.,Un nouveau virus a été découvert.
254,novel virus,nouveau virus,A new virus has been discovered.,Un nouveau virus a été découvert.
255,immune system,système immunitaire,The immune system is the body's defense against disease and infection.,Le système immunitaire est la défense de l'organisme contre les maladies et les infections.
256,immune system,système immunitaire,The immune system is the body's defense against disease and infection.,Le système immunitaire est la défense du corps contre les maladies et les infections.
257,immune system,système immunitaire,The immune system is the body's defense against disease and infection.,Le système immunitaire est la défense de l'organisme contre les maladies et les infections.
258,immune system,système immunitaire,The immune system is the body's defense against disease and infection.,Le système immunitaire est la défense du corps contre la maladie et l'infection.
259,immune system,système immunitaire,The immune system is the body's defense against disease and infection.,Le système immunitaire est la défense de l'organisme contre les maladies et les infections.
260,viral infection,infection virale,I have a viral infection.,J'ai une infection virale.
261,viral infection,infection virale,I have a viral infection.,J'ai une infection virale.
262,viral infection,infection virale,I have a viral infection.,J'ai une infection virale.
263,viral infection,infection virale,I have a viral infection.,J'ai une infection virale.
264,viral infection,infection virale,I have a viral infection.,J'ai une infection virale.
265,lungs,poumons,I can feel my lungs filling with air.,Je peux sentir mes poumons se remplir d'air.
266,lungs,poumons,The lungs are essential for breathing.,Les poumons sont essentiels pour respirer.
267,lungs,poumons,The lungs are essential for breathing.,Les poumons sont essentiels pour respirer.
268,lungs,poumons,The lungs are essential for breathing.,Les poumons sont essentiels pour respirer.
269,lungs,poumons,The lungs are essential for breathing.,Les poumons sont essentiels pour respirer.
270,multi-organ failure,défaillance multiviscérale|défaillance de plusieurs organes,She was admitted to the hospital due to multi-organ failure.,Elle a été admise à l'hôpital en raison d'une insuffisance organique multiple.
271,multi-organ failure,défaillance multiviscérale|défaillance de plusieurs organes,Patient is suffering from multi-organ failure.,Le patient souffre d'une insuffisance multi-organe.
272,multi-organ failure,défaillance multiviscérale|défaillance de plusieurs organes,Patient is suffering from multi-organ failure.,Le patient souffre de défaillances multi-organes.
273,multi-organ failure,défaillance multiviscérale|défaillance de plusieurs organes,Patients suffering from multi-organ failure often have a poor prognosis.,Les patients souffrant de défaillances multi-organes ont souvent un pronostic sombre.
274,multi-organ failure,défaillance multiviscérale|défaillance de plusieurs organes,Patient is in critical condition due to multi-organ failure.,Le patient est en état critique en raison d'une insuffisance d'organes multiples.
275,be infected,être infecté|est infecté|être infectées|être infectés,I have been infected.,J'ai été infecté.
276,be infected,être infecté|est infecté|être infectées|être infectés,I have been infected.,J'ai été infecté.
277,be infected,être infecté|est infecté|être infectées|être infectés,I have been infected.,J'ai été infecté.
278,be infected,être infecté|est infecté|être infectées|être infectés,I have been infected.,J'ai été infecté.
279,be infected,être infecté|est infecté|être infectées|être infectés,I have been infected.,J'ai été infecté.
280,the incubation period,la période d' incubation,The incubation period is the time between exposure to a virus and the onset of symptoms.,La période d'incubation est le temps entre l'exposition à un virus et l'apparition des symptômes.
281,the incubation period,la période d' incubation,The incubation period is the time between exposure to a virus and the onset of symptoms.,Le période d'incubation est la période entre l'exposition à un virus et l'apparition des symptômes.
282,the incubation period,la période d' incubation,The incubation period is the time between exposure to a virus and the onset of symptoms.,Le période d'incubation est le temps entre l'exposition à un virus et l'apparition des symptômes.
283,the incubation period,la période d' incubation,The incubation period is the time between exposure to a virus and the onset of symptoms.,La période d'incubation est le temps entre l'exposition à un virus et l'apparition des symptômes.
284,the incubation period,la période d' incubation,The incubation period is the time between exposure to a virus and the onset of symptoms.,La période d'incubation est le temps entre l'exposition à un virus et l'apparition des symptômes.
285,quarantine,mise en quarantaine|placer en quarantaine|quarantaine|quarantaines,I have been in quarantine for two weeks.,J'ai été en quarantaine pendant deux semaines.
286,quarantine,mise en quarantaine|placer en quarantaine|quarantaine|quarantaines,I have been in quarantine for two weeks.,J'ai été en quarantaine depuis deux semaines.
287,quarantine,mise en quarantaine|placer en quarantaine|quarantaine|quarantaines,I have been in quarantine for two weeks now.,J'ai été en quarantaine pendant deux semaines maintenant.
288,quarantine,mise en quarantaine|placer en quarantaine|quarantaine|quarantaines,I have been in quarantine for two weeks.,J'ai été en quarantaine pendant deux semaines.
289,quarantine,mise en quarantaine|placer en quarantaine|quarantaine|quarantaines,I have been in quarantine for two weeks.,J'ai été en quarantaine pendant deux semaines.
290,symptom,symptômes|symptôme,"I have a headache, which is a symptom of a cold.","J'ai mal à la tête, ce qui est un symptôme d'un rhume."
291,symptom,symptômes|symptôme,"I have a headache, which is a symptom of a cold.","J'ai mal à la tête, ce qui est un symptôme d'un rhume."
292,symptom,symptômes|symptôme,"I have a headache, which is a symptom of a cold.","J'ai mal à la tête, qui est un symptôme d'un rhume."
293,symptom,symptômes|symptôme,"I have a headache, which is a symptom of a cold.","J'ai mal à la tête, ce qui est un symptôme d'un rhume."
294,symptom,symptômes|symptôme,"I have a headache, which is a symptom of a cold.","J'ai mal à la tête, ce qui est un symptôme d'un rhume."
295,dry cough,toux sèche,I have a dry cough.,J'ai une toux sèche.
296,dry cough,toux sèche,I have a dry cough.,J'ai une toux sèche.
297,dry cough,toux sèche,I have a dry cough.,J'ai une toux sèche.
298,dry cough,toux sèche,I have a dry cough.,J'ai une toux sèche.
299,dry cough,toux sèche,I have a dry cough.,J'ai une toux sèche.
300,shortness of breath,essoufflé ( e )|essoufflement,I am experiencing shortness of breath.,Je ressens un court-souffle.
301,shortness of breath,essoufflé ( e )|essoufflement,I am experiencing shortness of breath.,Je ressens une sensation de court souffle.
302,shortness of breath,essoufflé ( e )|essoufflement,I am experiencing shortness of breath.,J'éprouve une sensation d'oppression respiratoire.
303,shortness of breath,essoufflé ( e )|essoufflement,I am experiencing shortness of breath.,Je ressens de la difficulté à respirer.
304,shortness of breath,essoufflé ( e )|essoufflement,I am experiencing shortness of breath.,Je ressens de la difficulté à respirer.
305,sore throat,mal de gorge|maux de gorge,I have a sore throat.,J'ai mal à la gorge.
306,sore throat,mal de gorge|maux de gorge,I have a sore throat.,J'ai mal à la gorge.
307,sore throat,mal de gorge|maux de gorge,I have a sore throat.,J'ai mal à la gorge.
308,sore throat,mal de gorge|maux de gorge,I have a sore throat.,J'ai mal à la gorge.
309,sore throat,mal de gorge|maux de gorge,I have a sore throat.,J'ai mal à la gorge.
310,septic shock,chocs septiques|choc septique,She went into septic shock and had to be rushed to the hospital.,Elle est entrée en choc septique et a dû être précipitée à l'hôpital.
311,septic shock,chocs septiques|choc septique,She was rushed to the hospital after going into septic shock.,Elle a été transportée à l'hôpital après avoir fait un choc septique.
312,septic shock,chocs septiques|choc septique,She went into septic shock and had to be rushed to the hospital.,Elle est allée en choc septique et a dû être transportée d'urgence à l'hôpital.
313,septic shock,chocs septiques|choc septique,She was rushed to the hospital after going into septic shock.,Elle a été prise en urgence à l'hôpital après avoir entré en choc septique.
314,septic shock,chocs septiques|choc septique,She was rushed to the hospital after going into septic shock.,Elle a été emmenée à l'hôpital après avoir fait un choc septique.
315,ventilation,ventilatoire|ventilation,Proper ventilation is essential for a healthy home.,Une ventilation adéquate est essentielle pour une maison saine.
316,ventilation,ventilatoire|ventilation,Proper ventilation is essential for a healthy home.,Une ventilation adéquate est essentielle pour un foyer sain.
317,ventilation,ventilatoire|ventilation,Proper ventilation is essential for a healthy home.,Une ventilation adéquate est essentielle pour un foyer sain.
318,ventilation,ventilatoire|ventilation,Proper ventilation is essential for a healthy home.,L'aération adéquate est essentielle pour une maison saine.
319,ventilation,ventilatoire|ventilation,Proper ventilation is essential for a healthy home.,La ventilation adéquate est essentielle pour une maison saine.
320,asymptomatic,asymptomatique,"She was asymptomatic, so she didn't realize she had the virus.","Elle était asymptomatique, donc elle ne s'est pas rendu compte qu'elle avait le virus."
321,asymptomatic,asymptomatique,"She was asymptomatic, so she didn't have any symptoms of the illness.","Elle était asymptomatique, donc elle n'avait aucun symptôme de la maladie."
322,asymptomatic,asymptomatique,"She was asymptomatic, so she didn't know she had the virus.","Elle était asymptomatique, alors elle ne savait pas qu'elle avait le virus."
323,asymptomatic,asymptomatique,"She was asymptomatic, so she didn't have any symptoms of the illness.","Elle était asymptomatique, donc elle n'avait aucun symptôme de la maladie."
324,asymptomatic,asymptomatique,"She was asymptomatic, so she didn't have any symptoms of the illness.","Elle était asymptomatique, donc elle n'avait aucun symptôme de la maladie."
325,white blood cell count,numération leucocytaire,The doctor ordered a white blood cell count to check for infection.,Le médecin a ordonné un comptage des globules blancs pour vérifier une infection.
326,white blood cell count,numération leucocytaire,The doctor ordered a white blood cell count to check for infection.,Le médecin a demandé une numération des globules blancs pour vérifier une infection.
327,white blood cell count,numération leucocytaire,The doctor ordered a white blood cell count to check for any abnormalities.,Le médecin a ordonné un comptage des globules blancs pour vérifier toute anomalie.
328,white blood cell count,numération leucocytaire,The doctor ordered a white blood cell count to check for infection.,Le médecin a ordonné un comptage leucocytaire pour vérifier une éventuelle infection.
329,white blood cell count,numération leucocytaire,The doctor ordered a white blood cell count to assess the patient's health.,Le médecin a ordonné un comptage des globules blancs pour évaluer la santé du patient.
330,acute respiratory distress syndrome,syndrome de détresse respiratoire aiguë|syndrome de détresse respiratoire aigu,She was diagnosed with acute respiratory distress syndrome and had to be hospitalized immediately.,Elle a été diagnostiquée avec un syndrome d'insuffisance respiratoire aiguë et a dû être hospitalisée immédiatement.
331,acute respiratory distress syndrome,syndrome de détresse respiratoire aiguë|syndrome de détresse respiratoire aigu,She was diagnosed with acute respiratory distress syndrome and had to be hospitalized immediately.,Elle a été diagnostiquée avec le syndrome de détresse respiratoire aiguë et a dû être à l'hôpital immédiatement.
332,acute respiratory distress syndrome,syndrome de détresse respiratoire aiguë|syndrome de détresse respiratoire aigu,She was diagnosed with acute respiratory distress syndrome and had to be hospitalized.,Elle a été diagnostiquée avec le syndrome de détresse respiratoire aiguë et a dû être hospitalisée.
333,acute respiratory distress syndrome,syndrome de détresse respiratoire aiguë|syndrome de détresse respiratoire aigu,She was diagnosed with acute respiratory distress syndrome and had to be hospitalized immediately.,Elle a été diagnostiquée avec un syndrome de détresse respiratoire aiguë et a dû être hospitalisée immédiatement.
334,acute respiratory distress syndrome,syndrome de détresse respiratoire aiguë|syndrome de détresse respiratoire aigu,She was diagnosed with acute respiratory distress syndrome and had to be hospitalized immediately.,Elle a été diagnostiquée avec un syndrome de détresse respiratoire aiguë et a dû être hospitalisée immédiatement.
335,ARDS,SDRA,Patients with ARDS often require intensive medical care.,Les patients atteints d'une ARDS nécessitent souvent des soins médicaux intensifs.
336,ARDS,SDRA,She was diagnosed with Acute Respiratory Distress Syndrome (ARDS).,Elle a été diagnostiquée avec le syndrome d'insuffisance respiratoire aiguë (SRRA).
337,ARDS,SDRA,She was diagnosed with Acute Respiratory Distress Syndrome (ARDS).,Elle a été diagnostiquée avec le syndrome d'insuffisance respiratoire aiguë (SRAS).
338,ARDS,SDRA,She was diagnosed with Acute Respiratory Distress Syndrome (ARDS).,Elle a été diagnostiquée avec un Syndrome d'Insuffisance Respiratoire Aigu (S.I.R.A).
339,ARDS,SDRA,She was diagnosed with Acute Respiratory Distress Syndrome (ARDS).,Elle a été diagnostiquée avec le syndrome de détresse respiratoire aiguë (SRAA).
340,surface,superficielles|surface,"area

The surface area of the object was measured.",La surface de l'objet a été mesurée.
341,surface,superficielles|surface,"area

The surface area of the object is large.",La surface de l'objet est grande.
342,surface,superficielles|surface,"area

The surface area of the object is large.",La superficie de l'objet est grande.
343,surface,superficielles|surface,"area

The surface area of the object was measured.",La superficie de l'objet a été mesurée.
344,surface,superficielles|surface,"area

The surface area of the object is large.",La surface de l'objet est grande.
345,pathology,pathologie,"Pathology is the study of diseases and their causes, processes, development, and effects.","La pathologie est l'étude des maladies et de leurs causes, processus, développement et conséquences."
346,pathology,pathologie,"Pathology is the study of diseases and their causes, processes, development, and effects.","La pathologie est l'étude des maladies et de leurs causes, des processus, du développement et des effets."
347,pathology,pathologie,"Pathology is the study of diseases and their causes, processes, and effects.","La pathologie est l'étude des maladies et de leurs causes, processus et effets."
348,pathology,pathologie,"Pathology is the study of diseases and their causes, processes, and effects.","La pathologie est l'étude des maladies et de leurs causes, processus et effets."
349,pathology,pathologie,"Pathology is the study of diseases and their causes, processes, development, and effects.","La pathologie est l'étude des maladies et de leurs causes, processus, développement et effets."
350,medicine,médicament|médicaments,I need to take my medicine every day.,J'ai besoin de prendre mes médicaments tous les jours.
351,medicine,médicament|médicaments,I need to take my medicine every day.,J'ai besoin de prendre mes médicaments chaque jour.
352,medicine,médicament|médicaments,I need to take my medicine every day.,J'ai besoin de prendre mes médicaments tous les jours.
353,medicine,médicament|médicaments,I need to take my medicine every day.,J'ai besoin de prendre mes médicaments tous les jours.
354,medicine,médicament|médicaments,I need to take my medicine every day.,J'ai besoin de prendre mes médicaments tous les jours.
355,vaccines,vaccins,Vaccines are an important tool for protecting people from dangerous diseases.,Les vaccins sont un outil important pour protéger les gens des maladies dangereuses.
356,vaccines,vaccins,Vaccines are an important tool for protecting people from dangerous diseases.,Les vaccins sont un outil important pour protéger les gens des maladies dangereuses.
357,vaccines,vaccins,Vaccines are an important tool in protecting people from dangerous diseases.,Les vaccins sont un outil important pour protéger les gens des maladies dangereuses.
358,vaccines,vaccins,Vaccines are an important tool in helping to protect people from dangerous illnesses.,Les vaccins sont un outil important pour aider à protéger les gens des maladies dangereuses.
359,vaccines,vaccins,Vaccines are an important part of keeping our population healthy.,Les vaccins sont une partie importante de la préservation de la santé de notre population.
360,mechanical ventilation,ventilation mécanique,The patient was put on mechanical ventilation to help them breathe.,Le patient a été mis sous ventilation mécanique pour l'aider à respirer.
361,mechanical ventilation,ventilation mécanique,The patient was put on mechanical ventilation to help them breathe.,Le patient a été mis sous ventilation mécanique pour l'aider à respirer.
362,mechanical ventilation,ventilation mécanique,The patient was put on mechanical ventilation to help them breathe.,Le patient a été mis sous ventilation mécanique pour l'aider à respirer.
363,mechanical ventilation,ventilation mécanique,The patient was put on mechanical ventilation to help them breathe.,Le patient a été mis sous ventilation mécanique pour l'aider à respirer.
364,mechanical ventilation,ventilation mécanique,The patient was put on mechanical ventilation to help them breathe.,Le patient a été mis sous ventilation mécanique pour l'aider à respirer.
365,antiviral drug,traitement antiviral|médicaments antiviraux|médicament antiviral,Antiviral drugs are used to treat infections caused by viruses.,Les médicaments antiviraux sont utilisés pour traiter les infections causées par les virus.
366,antiviral drug,traitement antiviral|médicaments antiviraux|médicament antiviral,Antiviral drugs are used to treat infections caused by viruses.,Les médicaments antiviraux sont utilisés pour traiter les infections causées par des virus.
367,antiviral drug,traitement antiviral|médicaments antiviraux|médicament antiviral,Antiviral drugs are used to treat infections caused by viruses.,Les médicaments antiviraux sont utilisés pour traiter les infections causées par les virus.
368,antiviral drug,traitement antiviral|médicaments antiviraux|médicament antiviral,Antiviral drugs are used to treat infections caused by viruses.,Les médicaments antiviraux sont utilisés pour traiter les infections causées par des virus.
369,antiviral drug,traitement antiviral|médicaments antiviraux|médicament antiviral,Antiviral drugs can be used to treat viral infections.,Les médicaments antiviraux peuvent être utilisés pour traiter les infections virales.
370,Ebola,Ebola,Ebola is a deadly virus that has caused outbreaks in several countries.,Ebola est un virus mortel qui a provoqué des épidémies dans plusieurs pays.
371,Ebola,Ebola,Ebola is a deadly virus that has caused outbreaks in Africa.,Le virus Ebola est un virus mortel qui a provoqué des épidémies en Afrique.
372,Ebola,Ebola,Ebola is a deadly virus that has caused outbreaks in several countries.,Ebola est un virus mortel qui a provoqué des épidémies dans plusieurs pays.
373,Ebola,Ebola,Ebola is a deadly virus that has caused outbreaks in several countries.,Ebola est un virus mortel qui a causé des épidémies dans plusieurs pays.
374,Ebola,Ebola,Ebola is a deadly virus that has caused outbreaks in several countries.,Ebola est un virus mortel qui a provoqué des épidémies dans plusieurs pays.
375,contagious,contagieux,The flu is highly contagious.,La grippe est très contagieuse.
376,contagious,contagieux,The flu is highly contagious.,La grippe est très contagieuse.
377,contagious,contagieux,The flu is highly contagious.,La grippe est très contagieuse.
378,contagious,contagieux,The flu is highly contagious.,La grippe est hautement contagieuse.
379,contagious,contagieux,The flu is highly contagious.,La grippe est très contagieuse.
380,symptomatic,symptomatique,I am experiencing symptomatic symptoms.,Je subis des symptômes symptomatiques.
381,symptomatic,symptomatique,I am experiencing symptomatic symptoms.,Je ressens des symptômes symptomatiques.
382,symptomatic,symptomatique,She was symptomatic of the flu.,Elle était symptomatique de la grippe.
383,symptomatic,symptomatique,She was showing symptomatic signs of the flu.,Elle montrait des signes symptomatiques du rhume.
384,symptomatic,symptomatique,She was showing symptomatic signs of the flu.,Elle montrait des signes symptomatiques de la grippe.
385,COVID-19 outbreak,épidémie de COVID-19,The COVID-19 outbreak has caused a global health crisis.,L'épidémie de COVID-19 a provoqué une crise sanitaire mondiale.
386,COVID-19 outbreak,épidémie de COVID-19,The COVID-19 outbreak has caused a global health crisis.,L'éclosion de la COVID-19 a provoqué une crise sanitaire mondiale.
387,COVID-19 outbreak,épidémie de COVID-19,The COVID-19 outbreak has caused a global health crisis.,L'épidémie de COVID-19 a provoqué une crise sanitaire mondiale.
388,COVID-19 outbreak,épidémie de COVID-19,The COVID-19 outbreak has caused a global health crisis.,L’épidémie de COVID-19 a provoqué une crise sanitaire mondiale.
389,COVID-19 outbreak,épidémie de COVID-19,The COVID-19 outbreak has caused a global health crisis.,L'épidémie de COVID-19 a provoqué une crise sanitaire mondiale.
390,contagion,contagion,The spread of disease through contact with an infected person is known as contagion.,La propagation de la maladie par contact avec une personne infectée est connue sous le nom de contagion.
391,contagion,contagion,The spread of disease through contact with an infected person is known as contagion.,La propagation d'une maladie par le contact avec une personne infectée est connue sous le nom de contagion.
392,contagion,contagion,The spread of disease through contact with an infected person is known as contagion.,La propagation d'une maladie par contact avec une personne infectée s'appelle la contagion.
393,contagion,contagion,The spread of the disease was a result of the contagion.,La propagation de la maladie était le résultat de la contagion.
394,contagion,contagion,The spread of disease through contact with an infected person is known as contagion.,La propagation de la maladie par le contact avec une personne infectée est connue sous le nom de contagion.
395,updates,mises à jour,I need to stay up to date with the latest updates.,J'ai besoin de rester à jour avec les dernières mises à jour.
396,updates,mises à jour,I need to stay up to date with the latest updates.,J'ai besoin de rester à jour avec les dernières mises à jour.
397,updates,mises à jour,I need to stay up to date with the latest updates.,J'ai besoin de rester à jour avec les dernières mises à jour.
398,updates,mises à jour,I need to stay up to date with the latest updates.,J'ai besoin de rester à jour avec les dernières mises à jour.
399,updates,mises à jour,I need to stay up to date with the latest updates.,J'ai besoin de rester à jour des dernières mises à jour.
400,close contact,contact rapproché|contact étroit,I have been in close contact with my family during the pandemic.,J'ai été en contact étroit avec ma famille pendant la pandémie.
401,close contact,contact rapproché|contact étroit,I have been in close contact with her for many years.,J'ai été en contact étroit avec elle depuis de nombreuses années.
402,close contact,contact rapproché|contact étroit,I have been in close contact with her for many years.,J'ai été en contact étroit avec elle depuis de nombreuses années.
403,close contact,contact rapproché|contact étroit,I have been in close contact with her lately.,J'ai été en contact étroit avec elle ces derniers temps.
404,close contact,contact rapproché|contact étroit,I have been in close contact with him for many years.,J'ai été en contact étroit avec lui pendant de nombreuses années.
405,antiviral treatment,traitement antiviral,Antiviral treatment is necessary to help fight off the virus.,Traitement antiviral est nécessaire pour aider à combattre le virus.
406,antiviral treatment,traitement antiviral,Antiviral treatment is an effective way to combat viral infections.,Traitement antiviral est une façon efficace de combattre les infections virales.
407,antiviral treatment,traitement antiviral,Antiviral treatment is often used to help reduce the severity of viral infections.,Le traitement antiviral est souvent utilisé pour aider à réduire la gravité des infections virales.
408,antiviral treatment,traitement antiviral,Antiviral treatment is an effective way to combat viral infections.,Traitement antiviral est un moyen efficace de combattre les infections virales.
409,antiviral treatment,traitement antiviral,Antiviral treatment is often used to help reduce the symptoms of viral infections.,Le traitement antiviral est souvent utilisé pour aider à réduire les symptômes des infections virales.
410,vaccine,vaccinale|vaccin,I received my vaccine today.,J'ai reçu ma vaccination aujourd'hui.
411,vaccine,vaccinale|vaccin,I received my vaccine today.,J'ai reçu mon vaccin aujourd'hui.
412,vaccine,vaccinale|vaccin,I received my vaccine today.,J'ai reçu mon vaccin aujourd'hui.
413,vaccine,vaccinale|vaccin,I received my vaccine today.,J'ai reçu mon vaccin aujourd'hui.
414,vaccine,vaccinale|vaccin,I received my vaccine today.,J'ai reçu mon vaccin aujourd'hui.
415,zoonotic virus,virus zoonotique,A zoonotic virus is a virus that can be transmitted between animals and humans.,Un virus zoonotique est un virus qui peut être transmis entre les animaux et les humains.
416,zoonotic virus,virus zoonotique,A zoonotic virus is a virus that can be transmitted between animals and humans.,Un virus zoonotique est un virus qui peut être transmis entre les animaux et leshumains.
417,zoonotic virus,virus zoonotique,A zoonotic virus is one that can be transmitted from animals to humans.,Un virus zoonotique est un virus qui peut être transmis des animaux aux humains.
418,zoonotic virus,virus zoonotique,A zoonotic virus is a virus that can be transmitted from animals to humans.,Un virus zoonotique est un virus qui peut être transmis des animaux aux humains.
419,zoonotic virus,virus zoonotique,A zoonotic virus is a virus that can be transmitted from animals to humans.,Un virus zoonotique est un virus qui peut être transmis des animaux aux humains.
420,underlying disease,maladie sous-jacente,The underlying disease caused her symptoms.,La maladie sous-jacente provoquait ses symptômes.
421,underlying disease,maladie sous-jacente,The underlying disease caused her symptoms.,La maladie sous-jacente a provoqué ses symptômes.
422,underlying disease,maladie sous-jacente,The underlying disease was the cause of her illness.,La maladie sous-jacente était la cause de sa maladie.
423,underlying disease,maladie sous-jacente,The underlying disease was the cause of her illness.,La maladie sous-jacente était la cause de sa maladie.
424,underlying disease,maladie sous-jacente,The underlying disease caused her symptoms.,La maladie sous-jacente a causé ses symptômes.
425,tissue damage,lésions tissulaires,The tissue has been damaged.,Le tissu a été endommagé.
426,tissue damage,lésions tissulaires,The tissue has been damaged.,Le tissu a été endommagé.
427,tissue damage,lésions tissulaires,The tissue has been damaged.,Le tissu a été endommagé.
428,tissue damage,lésions tissulaires,The tissue has been damaged.,Le tissu a été endommagé.
429,tissue damage,lésions tissulaires,The tissue has been damaged.,Le tissu a été endommagé.
430,infectious,infectieux,She had an infectious laugh that made everyone around her smile.,Elle avait un rire contagieux qui faisait sourire tout le monde autour d'elle.
431,infectious,infectieux,She had an infectious laugh that made everyone around her smile.,Elle avait un rire contagieux qui a fait sourire tout le monde autour d'elle.
432,infectious,infectieux,She had an infectious smile that lit up the room.,Elle avait un sourire contagieux qui a illuminé la pièce.
433,infectious,infectieux,She had an infectious laugh that made everyone around her smile.,Elle avait un rire contagieux qui faisait sourire tous ceux qui l'entouraient.
434,infectious,infectieux,She had an infectious laugh that made everyone around her smile.,Elle avait un rire contagieux qui faisait sourire tout le monde autour d'elle.
435,current outbreak,épidémie actuelle|actuelle épidémie,The current outbreak of the virus is causing widespread panic.,L'épidémie actuelle du virus cause une panique généralisée.
436,current outbreak,épidémie actuelle|actuelle épidémie,The current outbreak of the virus has caused widespread panic.,L'épidémie actuelle du virus a provoqué une panique généralisée.
437,current outbreak,épidémie actuelle|actuelle épidémie,The current outbreak of the coronavirus has caused widespread panic.,L'actuelle épidémie du coronavirus a provoqué une panique généralisée.
438,current outbreak,épidémie actuelle|actuelle épidémie,The current outbreak of the virus has caused widespread concern.,L'épidémie actuelle du virus cause une préoccupation générale.
439,current outbreak,épidémie actuelle|actuelle épidémie,The current outbreak of the virus has caused widespread panic.,L'épidémie actuelle du virus a provoqué une panique généralisée.
440,lockdown,confinement|confinements,The government has imposed a lockdown to help prevent the spread of the virus.,Le gouvernement a imposé un confinement pour aider à prévenir la propagation du virus.
441,lockdown,confinement|confinements,I'm staying home during the lockdown.,Je reste à la maison pendant le confinement.
442,lockdown,confinement|confinements,We are currently in a lockdown due to the coronavirus pandemic.,Nous sommes actuellement en confinement à cause de la pandémie de coronavirus.
443,lockdown,confinement|confinements,The government has imposed a strict lockdown to help prevent the spread of the virus.,Le gouvernement a imposé un verrouillage strict pour aider à prévenir la propagation du virus.
444,lockdown,confinement|confinements,The government has imposed a lockdown to help slow the spread of the virus.,Le gouvernement a imposé un verrouillage pour aider à ralentir la propagation du virus.
445,swab,prélèvements|prélèvement,I need to swab the wound to clean it.,J'ai besoin de tamponner la plaie pour la nettoyer.
446,swab,prélèvements|prélèvement,I need to swab the wound with antiseptic.,J'ai besoin de nettoyer la plaie avec un antiseptique.
447,swab,prélèvements|prélèvement,I need to swab the wound with antiseptic.,J'ai besoin de nettoyer la blessure avec un antiseptique.
448,swab,prélèvements|prélèvement,She swabbed the wound with a cotton ball.,Elle a essuyé la plaie avec un coton-tige.
449,swab,prélèvements|prélèvement,I need to swab the wound to clean it.,J'ai besoin de nettoyer la blessure avec un coton-tige.
450,influenza,grippal|grippale|grippe,I caught the flu last week.,J'ai attrapé la grippe la semaine dernière.
451,influenza,grippal|grippale|grippe,I caught the flu last week.,J'ai attrapé la grippe la semaine dernière.
